year_of_report,status
1873,Standalone/Missing
1874,Standalone/Missing
1880,Standalone/Missing
1883,Standalone/Missing
1888,Standalone/Missing
1891,Standalone/Missing
1892,Standalone/Missing
1893,Standalone/Missing
1898,Standalone/Missing
1899,Standalone/Missing
1904,Standalone/Missing
1918,Standalone/Missing
1921,Standalone/Missing
1922,Standalone/Missing
1923,Standalone/Missing
1924,Standalone/Missing
1925,Standalone/Missing
1926,Standalone/Missing
1927,Standalone/Missing
1928,Standalone/Missing
1939,Standalone/Missing
